,the,of,in,to,and,said,a,pct,oil,mln,is,by,will,year,s,for,on,from,its,an,u,that,at,it,tonnes,1,be,dlrs,000,was,wheat,he,with,as,would,prices,2,has,not,last,this,were,but,crude,1986,are,grain,production,have,corn
article000.txt,13,8,6,5,5,4,4,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article001.txt,43,22,13,16,19,10,15,7,7,3,4,9,3,8,16,10,3,3,3,4,9,8,5,4,0,2,3,7,0,1,0,1,3,8,3,4,0,5,1,4,6,2,2,0,0,5,0,0,3,0
article002.txt,19,3,3,5,4,6,4,0,2,0,1,2,0,0,1,3,2,1,2,2,0,0,1,2,0,0,3,0,0,3,0,0,1,1,2,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0
article003.txt,10,5,0,2,4,8,6,0,1,0,0,2,0,0,1,0,0,2,2,4,0,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0
article004.txt,13,14,12,4,7,9,1,1,8,9,2,1,1,3,4,3,4,2,7,1,1,0,1,7,0,1,1,9,0,0,0,0,0,2,1,1,2,0,1,3,1,1,0,0,2,0,0,3,0,0
article005.txt,4,1,3,1,4,2,1,0,4,0,0,1,2,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
article006.txt,5,4,3,6,3,2,3,0,1,0,0,2,1,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0
article007.txt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article008.txt,7,2,6,5,3,4,0,0,2,8,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
article009.txt,7,0,5,5,1,5,3,10,2,18,0,1,0,7,2,0,0,10,1,0,2,0,1,1,0,6,0,0,0,4,0,0,0,1,0,0,4,0,0,1,1,0,0,2,1,0,0,0,0,0
article010.txt,1,0,4,6,1,3,2,0,0,0,0,0,2,0,4,0,0,0,0,0,2,0,1,0,0,2,0,3,0,1,0,0,1,1,0,0,0,0,0,0,2,1,1,2,0,3,0,0,1,0
article011.txt,15,11,5,9,4,9,4,5,12,0,2,4,0,0,7,10,5,1,2,3,6,2,2,1,0,0,3,0,0,0,0,3,0,8,3,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0
article012.txt,10,3,2,4,4,4,3,3,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,2,0
article013.txt,11,4,14,8,3,0,7,5,5,0,2,2,0,0,6,7,3,4,0,1,6,0,2,0,0,1,0,6,0,0,0,0,1,3,0,5,2,0,0,1,0,1,2,6,0,0,0,0,0,0
article014.txt,5,2,3,0,3,2,1,1,4,1,1,0,0,0,2,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article015.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article016.txt,11,6,1,10,1,3,1,0,3,0,1,1,2,0,1,0,3,0,0,2,0,0,1,1,0,0,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
article017.txt,14,6,3,12,3,7,3,0,3,0,1,1,0,0,4,6,2,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2,0
article018.txt,4,3,2,0,0,2,3,5,2,2,2,1,0,0,3,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
article019.txt,4,5,3,4,4,2,3,3,3,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0
article020.txt,3,2,1,3,5,1,1,0,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article021.txt,16,10,7,8,3,7,4,0,8,1,1,2,1,0,2,1,1,3,2,1,0,2,1,9,0,1,0,2,0,1,0,0,2,1,2,2,0,2,1,2,1,4,0,0,0,0,0,2,0,0
article022.txt,25,9,9,13,11,17,7,0,12,0,0,2,3,0,14,7,1,1,3,5,3,7,3,8,0,0,1,0,0,1,0,6,6,3,4,0,0,2,2,5,0,5,6,2,0,3,0,0,1,0
article023.txt,15,11,7,9,4,5,4,0,8,1,1,2,1,0,2,1,1,3,2,1,0,2,1,9,0,1,0,2,0,1,0,0,2,1,2,2,0,2,1,2,1,4,0,0,0,0,0,2,0,0
article024.txt,6,0,3,4,2,3,1,0,3,2,0,0,0,0,1,0,0,0,0,1,0,3,0,3,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
article025.txt,10,8,7,11,6,6,5,2,8,3,1,0,1,2,2,1,2,0,4,2,0,0,1,0,2,0,0,1,2,6,0,3,2,0,0,2,1,0,1,3,0,0,1,3,1,0,0,3,0,0
article026.txt,6,1,2,1,2,3,2,3,2,1,1,0,1,0,1,2,0,0,1,0,1,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article027.txt,17,7,7,10,3,9,3,0,5,0,8,0,3,0,12,7,7,0,4,4,3,6,0,5,0,0,5,2,0,1,0,4,10,4,2,0,0,0,2,0,0,2,2,3,0,5,0,0,0,0
article028.txt,18,9,4,13,2,2,4,0,4,0,1,0,3,0,2,1,2,2,0,3,0,1,3,1,0,0,0,0,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0
article029.txt,1,3,0,10,1,2,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0
article030.txt,18,10,3,12,6,7,4,0,5,3,2,1,6,1,2,6,3,1,2,3,0,2,2,4,0,0,2,2,5,3,0,0,5,0,0,0,0,0,1,0,1,1,2,3,0,2,0,0,0,0
article031.txt,10,9,4,9,6,8,8,0,5,1,4,1,3,2,3,1,3,1,2,2,0,2,2,1,0,0,5,4,0,3,0,5,0,5,3,4,0,0,2,2,1,1,2,1,1,0,0,3,1,0
article032.txt,11,9,5,2,4,2,4,0,7,3,1,0,0,3,2,3,1,3,0,1,0,0,3,0,3,0,0,0,3,0,0,1,0,1,0,0,2,3,0,1,1,0,0,1,1,0,0,3,0,0
article033.txt,19,6,5,8,7,7,5,0,2,2,4,4,1,0,3,6,3,1,3,1,0,6,1,0,0,2,1,0,3,3,0,1,5,3,2,1,0,1,1,0,1,1,2,0,0,1,0,0,2,0
article034.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article035.txt,16,0,2,5,4,2,6,0,3,0,2,3,2,0,5,1,2,0,1,1,0,3,0,2,0,0,2,0,0,1,0,0,2,3,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
article036.txt,4,9,3,5,1,3,5,9,0,0,0,2,0,2,1,0,1,0,0,0,1,0,0,0,0,3,0,2,3,1,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0
article037.txt,5,2,4,4,4,2,1,0,0,0,0,4,0,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0
article038.txt,27,12,11,12,9,5,6,0,2,0,2,3,5,2,7,3,4,1,1,1,3,5,4,2,0,0,4,0,0,1,0,4,3,1,2,0,0,1,3,1,2,2,0,0,0,2,0,0,0,0
article039.txt,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article040.txt,38,12,6,14,9,8,9,0,6,0,10,6,2,0,3,1,5,3,0,0,1,10,4,2,0,0,4,2,1,3,0,2,2,2,3,1,0,4,2,0,5,1,3,5,0,0,0,0,1,0
article041.txt,17,7,5,11,1,4,5,0,8,0,3,2,0,0,5,3,2,0,0,1,4,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
article042.txt,10,5,1,4,3,4,7,0,2,0,1,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,1,0,4,1,0,1,2,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
article043.txt,8,3,1,2,2,3,3,0,3,0,0,2,0,0,0,1,1,1,2,0,0,2,0,5,0,1,0,2,0,0,0,0,2,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
article044.txt,2,0,3,3,1,2,3,1,2,0,1,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,0,0,0,0
article045.txt,22,14,7,15,11,12,12,3,12,1,2,3,2,2,4,6,2,0,4,1,0,3,1,7,0,0,2,0,0,4,0,3,0,2,2,0,0,0,1,1,1,1,3,1,2,1,0,0,2,0
article046.txt,11,7,3,8,4,4,1,1,2,0,0,1,0,0,4,3,2,2,4,0,1,1,1,0,0,0,0,0,0,3,0,2,2,0,0,0,0,3,1,1,1,0,1,1,0,0,0,0,1,0
article047.txt,5,2,0,2,3,2,0,0,3,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0
article048.txt,11,8,9,5,6,5,7,2,2,1,1,1,2,0,2,2,0,3,1,0,0,1,0,5,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
article049.txt,6,3,4,5,8,2,9,0,5,1,3,1,2,0,2,3,3,1,1,1,0,3,0,3,0,0,0,2,0,0,0,2,0,0,4,5,0,0,5,2,0,0,0,0,1,0,0,4,0,0
article050.txt,6,3,5,5,8,2,9,0,5,1,3,1,1,0,2,3,3,1,1,1,0,3,0,3,0,0,0,2,0,0,0,2,0,0,4,5,0,0,4,2,0,0,0,0,1,0,0,4,0,0
article051.txt,8,5,6,4,0,4,4,0,6,0,1,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,4,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0
article052.txt,12,3,3,4,4,6,4,0,8,0,1,1,1,1,1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,1,0,2,2,1,2,3,0,0,1,0,1,0,0,2,0,0,0,0,0,0
article053.txt,13,7,8,6,0,6,4,0,8,0,1,3,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2,0,2,0,5,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,4,0,0
article054.txt,15,8,7,20,8,9,8,3,10,13,5,1,0,2,9,8,3,3,1,3,5,3,3,1,0,1,4,0,3,3,0,1,2,1,3,2,1,0,2,2,1,1,3,2,0,1,0,0,4,0
article055.txt,24,8,5,15,7,9,4,1,6,0,2,0,6,0,6,4,6,1,3,1,4,3,5,6,0,0,2,0,1,4,0,0,2,0,0,2,0,0,2,0,1,2,2,4,0,2,0,0,0,0
article056.txt,15,9,5,3,2,6,4,2,4,3,0,1,0,1,3,5,0,0,2,0,1,0,1,0,0,1,1,4,0,0,0,2,0,1,0,0,0,2,0,1,0,1,1,0,3,0,0,3,0,0
article057.txt,1,1,1,1,1,2,0,0,2,1,1,0,0,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
article058.txt,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0
article059.txt,6,5,1,3,3,1,2,1,1,0,0,0,1,0,4,3,0,0,1,2,0,5,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
article060.txt,19,6,5,6,5,6,10,0,1,0,1,1,0,0,6,2,1,1,2,1,5,4,1,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0
article061.txt,17,10,3,2,2,1,7,0,4,3,0,2,0,0,2,2,3,0,2,3,1,0,0,1,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0
article062.txt,16,7,10,5,1,4,4,2,8,0,0,0,0,1,2,3,2,1,0,2,2,0,2,0,0,0,2,0,0,2,0,5,0,0,3,0,0,0,2,1,0,0,2,0,0,1,0,0,2,0
article063.txt,5,3,6,3,3,1,3,1,2,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0
article064.txt,4,3,2,4,1,2,3,4,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0
article065.txt,3,3,3,2,4,5,3,4,3,0,1,3,1,0,4,1,1,1,3,1,1,1,1,0,0,0,2,1,0,1,0,2,1,0,0,1,0,1,0,1,0,3,0,3,0,0,0,3,0,0
article066.txt,26,13,11,20,16,3,9,0,7,4,5,3,3,3,5,9,3,1,7,1,0,2,7,2,0,2,4,1,0,1,0,1,6,1,1,13,1,2,4,1,3,1,7,2,0,3,0,1,3,0
article067.txt,5,10,4,5,6,3,3,0,3,3,1,1,0,0,1,1,0,1,1,0,0,0,1,3,0,1,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
article068.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article069.txt,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article070.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article071.txt,7,4,0,0,2,1,4,2,2,0,3,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
article072.txt,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article073.txt,1,0,0,0,0,2,3,1,4,0,1,1,0,0,0,2,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
article074.txt,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article075.txt,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article076.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article077.txt,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article078.txt,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article079.txt,2,0,0,0,1,3,2,0,1,0,2,1,0,0,1,2,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article080.txt,3,0,1,0,1,3,4,0,3,0,2,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
article081.txt,3,0,1,1,2,2,2,0,1,0,2,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article082.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
article083.txt,5,0,0,2,1,1,3,0,5,0,0,3,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,1,0,0,0,0
article084.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article085.txt,4,1,0,0,0,1,3,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article086.txt,2,1,0,0,1,2,3,0,1,0,2,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article087.txt,6,3,0,2,2,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0
article088.txt,19,6,0,1,3,3,7,0,4,0,0,2,0,0,2,3,3,1,0,4,2,7,0,2,0,0,0,0,1,6,0,1,0,2,3,0,0,0,7,0,0,2,1,0,0,1,0,0,1,0
article089.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article090.txt,2,1,0,0,1,3,4,0,2,0,2,3,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article091.txt,2,0,0,0,1,2,2,0,1,0,1,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
article092.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article093.txt,3,2,0,2,0,1,4,0,2,0,0,0,1,0,1,2,1,0,1,0,0,0,2,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
article094.txt,2,5,1,1,4,3,0,0,5,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
article095.txt,5,2,4,0,2,4,0,2,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,3,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
article096.txt,12,13,4,13,4,6,2,0,4,2,1,0,1,9,2,4,3,2,3,1,0,0,2,4,11,3,1,0,10,1,0,0,4,0,0,0,0,1,4,3,4,1,1,2,0,0,0,0,1,0
article097.txt,21,8,17,12,2,5,6,2,6,5,0,3,0,7,4,3,1,8,0,1,0,0,1,2,3,4,0,3,4,2,0,0,1,1,0,1,0,0,0,4,0,0,0,1,6,0,0,6,0,0
article098.txt,15,3,4,9,7,6,6,0,3,3,1,2,4,2,4,7,1,1,1,1,0,2,4,0,0,0,4,2,0,2,0,5,2,1,0,2,0,0,0,2,2,0,0,1,0,0,0,1,3,0
article099.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
article100.txt,4,1,0,1,0,2,3,0,2,0,0,2,2,0,1,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
article101.txt,43,10,24,22,17,11,21,0,12,4,9,2,5,3,13,4,2,4,2,2,5,5,9,1,0,1,2,7,1,0,0,2,4,3,0,12,0,0,3,0,3,0,2,3,1,6,0,3,3,0
article102.txt,17,4,4,2,4,7,2,0,6,3,0,0,1,1,4,4,0,2,2,1,3,1,2,3,0,0,0,3,2,0,0,0,3,0,4,1,0,0,1,1,0,0,0,1,0,0,0,0,3,0
article103.txt,9,2,7,3,2,6,2,0,2,0,0,1,1,1,4,0,2,1,0,1,2,0,3,0,0,0,1,4,0,2,0,0,0,0,0,3,0,1,0,0,1,2,0,1,0,0,0,1,0,0
article104.txt,26,6,7,9,2,5,2,0,1,0,1,0,1,1,5,2,2,1,2,1,5,5,0,2,0,0,3,0,0,1,0,2,3,2,3,0,0,2,2,0,1,0,1,0,0,1,0,0,1,0
article105.txt,8,3,2,3,3,4,3,3,4,0,0,0,0,0,1,0,0,2,1,1,0,0,3,4,0,1,1,0,0,1,0,0,0,0,1,0,2,4,0,0,0,0,1,0,0,0,0,2,0,0
article106.txt,16,5,15,15,10,14,8,0,9,3,3,1,4,0,7,9,8,4,3,1,1,4,2,3,0,0,6,1,0,3,0,0,2,3,5,4,0,4,1,0,0,2,3,3,0,4,0,3,1,0
article107.txt,21,7,10,19,9,14,8,0,10,5,4,5,7,1,6,5,8,3,4,2,4,5,3,3,0,1,5,8,2,0,0,3,2,5,0,8,1,2,0,0,1,2,2,1,0,2,0,3,0,0
article108.txt,14,8,4,7,5,7,6,0,10,0,1,0,0,1,3,2,0,1,0,2,0,1,3,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0
article109.txt,3,1,2,7,0,4,1,0,5,1,1,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0
article110.txt,24,13,11,13,9,3,3,5,14,7,2,4,1,3,8,5,7,6,6,4,0,1,0,4,0,2,1,2,2,2,0,1,2,0,3,5,0,3,0,2,2,1,1,0,2,0,0,5,2,0
article111.txt,61,29,15,17,6,0,6,0,1,1,0,5,2,3,1,6,2,3,1,2,1,5,2,0,0,0,4,1,0,0,0,0,3,4,2,4,0,0,0,0,1,1,0,0,3,1,0,6,1,0
article112.txt,20,13,6,15,8,8,11,0,2,10,1,2,8,1,2,3,5,2,3,1,0,3,3,4,0,3,9,1,2,1,0,3,3,1,3,3,3,7,6,0,0,0,1,2,0,3,0,2,1,0
article113.txt,7,3,4,6,2,0,1,0,2,5,0,1,1,2,3,3,0,1,4,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,2,1,1,1,1,0,0,0,0,0,0,1,0,0
